Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded
213,6,Michael Ojemudia,Iowa,S,New England (Comp),+0,6,Iowa,False
214,6,Nick Coe,Auburn,DL5T,Seattle (Comp),+33,6,Alabama,False
215,7,Dane Jackson,Pitt,CB,Cincinnati,-1,5,Pennsylvania,False
216,7,Francis Bernard,Utah State,ILB,Washington,+14,5,Utah,False
217,7,Kamren Curl,Arkansas,S,San Francisco (Trade),+0,15,Arkansas,True
218,7,Cordel Iwuagwu,TCU,OG,NY Giants,-16,5,Texas,False
219,7,Alohi Gilman,Notre Dame,S,Minnesota,-13,5,Indiana,False
220,7,Malcolm Roach,Texas,DL5T,LA Chargers,+31,5,Texas,False
221,7,Josiah Deguara,Cincinnati,TE,Carolina,+12,5,Ohio,False
222,7,Chauncey Rivers,Mississippi State,DL5T,Arizona,+7,5,Mississippi,False
223,7,Rodney Clemons,SMU,S,Jacksonville,-2,5,Texas,False
224,7,Essang Bassey,Wake Forest,CB,Tennessee (Trade),-6,15,North Carolina,True
225,7,JaMycal Hasty,Baylor,RBC,Baltimore (Trade),+31,15,Texas,True
226,7,Lynn Bowden Jr.,Kentucky,WR,Chicago (Trade),+8,15,Kentucky,True
227,7,Michael Divinity Jr.,LSU,OLB,Miami (Trade),+8,15,Louisiana,True
228,7,Michael Pinckney,Miami (FL),OLB,Atlanta (Trade),-12,15,Florida,True
229,7,Harrison Hand,Temple,S,Washington (Trade),+1,15,Pennsylvania,True
230,7,Bravvion Roy,Baylor,DL1T,New England (Trade),-23,15,Texas,True
231,7,Quintez Cephus,Wisconsin,WR,Dallas,+0,5,Wisconsin,False
232,7,Levante Bellamy,Western Michigan,RBC,Pittsburgh,+36,5,Michigan,False
233,7,David Woodward,Utah State,ILB,Chicago,+13,5,Utah,False
234,7,J.J. Taylor,Arizona,RBC,LA Rams,+24,5,Arizona,False
235,7,Steven Montez,Colorado,QB,Detroit (Trade),+12,15,Colorado,True
236,7,Josiah Coatney,Ole Miss,DL3T,Green Bay (Trade),-37,15,Mississippi,True
